NAME,OVA,YEAR,
 Chelsea,83,2015/2016,
 Arsenal,82,2015/2016,
 Manchester City,82,2015/2016,
 Manchester United,81,2015/2016,
 Liverpool,80,2015/2016,
 Tottenham Hotspur,79,2015/2016,
 Everton,79,2015/2016,
 Stoke City,77,2015/2016,
 Swansea City,77,2015/2016,
 Southampton,77,2015/2016,
 Newcastle United,76,2015/2016,
 West Ham United,76,2015/2016,
 West Bromwich Albion,76,2015/2016,
 Crystal Palace,75,2015/2016,
 Aston Villa,75,2015/2016,
 Watford,75,2015/2016,
 Sunderland,75,2015/2016,
 Leicester City,74,2015/2016,
 Norwich City,74,2015/2016,
 Hull City,73,2015/2016,
 Queens Park Rangers,73,2015/2016,
 Bournemouth,73,2015/2016,
 Derby County,72,2015/2016,
 Sheffield Wednesday,72,2015/2016,
 Middlesbrough,72,2015/2016,
 Reading,71,2015/2016,
 Burnley,71,2015/2016,
 Cardiff City,71,2015/2016,
 Nottingham Forest,70,2015/2016,
 Brighton & Hove Albion,70,2015/2016,
 Fulham,70,2015/2016,
 Wolverhampton Wanderers,69,2015/2016,
 Brentford,69,2015/2016,
 Bolton Wanderers,69,2015/2016,
 Charlton Athletic,69,2015/2016,
 Leeds United,69,2015/2016,
 Ipswich Town,69,2015/2016,
 Blackburn Rovers,68,2015/2016,
 Birmingham City,68,2015/2016,
 Huddersfield Town,67,2015/2016,
 Bristol City,67,2015/2016,
 Wigan Athletic,67,2015/2016,
 Rotherham United,66,2015/2016,
 Coventry City,66,2015/2016,
 Millwall,66,2015/2016,
 Preston North End,66,2015/2016,
 Sheffield United,66,2015/2016,
 Milton Keynes Dons,66,2015/2016,
 Peterborough United,64,2015/2016,
 Bury,64,2015/2016,
 Chesterfield,64,2015/2016,
 Luton Town,64,2015/2016,
 Oldham Athletic,64,2015/2016,
 Notts County,64,2015/2016,
 Doncaster Rovers,64,2015/2016,
 Bradford City,64,2015/2016,
 Walsall,64,2015/2016,
 Portsmouth,63,2015/2016,
 Colchester United,63,2015/2016,
 Gillingham,63,2015/2016,
 Chelsea,83,2014/2015,
 Manchester City,82,2014/2015,
 Manchester United,81,2014/2015,
 Arsenal,80,2014/2015,
 Tottenham Hotspur,79,2014/2015,
 Liverpool,79,2014/2015,
 Everton,78,2014/2015,
 Southampton,76,2014/2015,
 Queens Park Rangers,75,2014/2015,
 Swansea City,75,2014/2015,
 Newcastle United,75,2014/2015,
 Stoke City,75,2014/2015,
 West Ham United,75,2014/2015,
 West Bromwich Albion,74,2014/2015,
 Aston Villa,74,2014/2015,
 Sunderland,74,2014/2015,
 Hull City,73,2014/2015,
 Norwich City,73,2014/2015,
 Crystal Palace,73,2014/2015,
 Leicester City,71,2014/2015,
 Cardiff City,71,2014/2015,
 Watford,70,2014/2015,
 Fulham,70,2014/2015,
 Burnley,70,2014/2015,
 Wigan Athletic,69,2014/2015,
 Middlesbrough,69,2014/2015,
 Nottingham Forest,69,2014/2015,
 Wolverhampton Wanderers,69,2014/2015,
 Derby County,69,2014/2015,
 Sheffield Wednesday,68,2014/2015,
 Blackburn Rovers,68,2014/2015,
 Reading,68,2014/2015,
 Bolton Wanderers,68,2014/2015,
 Ipswich Town,68,2014/2015,
 Millwall,68,2014/2015,
 Brighton & Hove Albion,68,2014/2015,
 Bournemouth,68,2014/2015,
 Leeds United,67,2014/2015,
 Birmingham City,66,2014/2015,
 Charlton Athletic,66,2014/2015,
 Huddersfield Town,66,2014/2015,
 Blackpool,66,2014/2015,
 Leyton Orient,65,2014/2015,
 Brentford,64,2014/2015,
 Bristol City,64,2014/2015,
 Coventry City,64,2014/2015,
 Rotherham United,64,2014/2015,
 Oldham Athletic,63,2014/2015,
 Doncaster Rovers,63,2014/2015,
 Barnsley,63,2014/2015,
 Sheffield United,63,2014/2015,
 Preston North End,63,2014/2015,
 Milton Keynes Dons,63,2014/2015,
 Bradford City,63,2014/2015,
 Peterborough United,63,2014/2015,
 Colchester United,62,2014/2015,
 Port Vale,62,2014/2015,
 Yeovil Town,62,2014/2015,
 Portsmouth,62,2014/2015,
 Chesterfield,62,2014/2015,
 Manchester City,83,2013/2014,
 Manchester United,82,2013/2014,
 Chelsea,82,2013/2014,
 Arsenal,81,2013/2014,
 Tottenham Hotspur,80,2013/2014,
 Liverpool,80,2013/2014,
 Everton,78,2013/2014,
 Fulham,77,2013/2014,
 Newcastle United,77,2013/2014,
 Swansea City,76,2013/2014,
 West Bromwich Albion,75,2013/2014,
 Stoke City,75,2013/2014,
 Southampton,75,2013/2014,
 Sunderland,74,2013/2014,
 Norwich City,74,2013/2014,
 West Ham United,74,2013/2014,
 Queens Park Rangers,74,2013/2014,
 Aston Villa,74,2013/2014,
 Cardiff City,72,2013/2014,
 Wigan Athletic,72,2013/2014,
 Hull City,72,2013/2014,
 Crystal Palace,71,2013/2014,
 Reading,71,2013/2014,
 Watford,70,2013/2014,
 Bolton Wanderers,70,2013/2014,
 Brighton & Hove Albion,70,2013/2014,
 Derby County,69,2013/2014,
 Middlesbrough,69,2013/2014,
 Nottingham Forest,69,2013/2014,
 Leicester City,69,2013/2014,
 Wolverhampton Wanderers,68,2013/2014,
 Burnley,68,2013/2014,
 Leeds United,68,2013/2014,
 Sheffield Wednesday,68,2013/2014,
 Blackpool,68,2013/2014,
 Blackburn Rovers,68,2013/2014,
 Millwall,67,2013/2014,
 Birmingham City,67,2013/2014,
 Bournemouth,67,2013/2014,
 Ipswich Town,67,2013/2014,
 Barnsley,66,2013/2014,
 Doncaster Rovers,66,2013/2014,
 Huddersfield Town,66,2013/2014,
 Charlton Athletic,65,2013/2014,
 Milton Keynes Dons,64,2013/2014,
 Sheffield United,64,2013/2014,
 Peterborough United,64,2013/2014,
 Bristol City,64,2013/2014,
 Leyton Orient,63,2013/2014,
 Bradford City,63,2013/2014,
 Yeovil Town,63,2013/2014,
 Preston North End,63,2013/2014,
 Coventry City,63,2013/2014,
 Tranmere Rovers,62,2013/2014,
 Colchester United,62,2013/2014,
 Notts County,62,2013/2014,
 Brentford,62,2013/2014,
 Chesterfield,62,2013/2014,
 Rotherham United,62,2013/2014,
 Stevenage,61,2013/2014,
 Manchester United,82,2012/2013,
 Manchester City,82,2012/2013,
 Chelsea,81,2012/2013,
 Arsenal,80,2012/2013,
 Tottenham Hotspur,80,2012/2013,
 Liverpool,79,2012/2013,
 Fulham,77,2012/2013,
 Newcastle United,77,2012/2013,
 Everton,76,2012/2013,
 Queens Park Rangers,76,2012/2013,
 Sunderland,75,2012/2013,
 Aston Villa,75,2012/2013,
 Stoke City,75,2012/2013,
 West Ham United,74,2012/2013,
 Swansea City,74,2012/2013,
 Wigan Athletic,74,2012/2013,
 West Bromwich Albion,74,2012/2013,
 Southampton,73,2012/2013,
 Norwich City,73,2012/2013,
 Wolverhampton Wanderers,71,2012/2013,
 Reading,71,2012/2013,
 Bolton Wanderers,71,2012/2013,
 Blackburn Rovers,70,2012/2013,
 Brighton & Hove Albion,70,2012/2013,
 Cardiff City,70,2012/2013,
 Birmingham City,70,2012/2013,
 Crystal Palace,69,2012/2013,
 Nottingham Forest,69,2012/2013,
 Hull City,69,2012/2013,
 Derby County,69,2012/2013,
 Watford,68,2012/2013,
 Leeds United,68,2012/2013,
 Middlesbrough,68,2012/2013,
 Blackpool,68,2012/2013,
 Leicester City,68,2012/2013,
 Bristol City,67,2012/2013,
 Burnley,67,2012/2013,
 Ipswich Town,67,2012/2013,
 Millwall,66,2012/2013,
 Sheffield Wednesday,66,2012/2013,
 Huddersfield Town,66,2012/2013,
 Sheffield United,65,2012/2013,
 Peterborough United,65,2012/2013,
 Barnsley,65,2012/2013,
 Charlton Athletic,65,2012/2013,
 Bournemouth,64,2012/2013,
 Milton Keynes Dons,64,2012/2013,
 Doncaster Rovers,64,2012/2013,
 Leyton Orient,63,2012/2013,
 Notts County,63,2012/2013,
 Coventry City,63,2012/2013,
 Preston North End,63,2012/2013,
 Swindon Town,62,2012/2013,
 Stevenage,62,2012/2013,
 Brentford,62,2012/2013,
 Scunthorpe United,62,2012/2013,
 Shrewsbury,62,2012/2013,
 Rotherham United,62,2012/2013,
 Bradford City,62,2012/2013,
 Gillingham,62,2012/2013,
 Manchester City,83,2011/2012,
 Manchester United,83,2011/2012,
 Chelsea,83,2011/2012,
 Tottenham Hotspur,81,2011/2012,
 Liverpool,81,2011/2012,
 Arsenal,81,2011/2012,
 Newcastle United,77,2011/2012,
 Everton,77,2011/2012,
 Fulham,77,2011/2012,
 Queens Park Rangers,76,2011/2012,
 Sunderland,76,2011/2012,
 Aston Villa,76,2011/2012,
 Stoke City,76,2011/2012,
 Wolverhampton Wanderers,75,2011/2012,
 Blackburn Rovers,74,2011/2012,
 West Bromwich Albion,74,2011/2012,
 Bolton Wanderers,74,2011/2012,
 Swansea City,73,2011/2012,
 West Ham United,73,2011/2012,
 Birmingham City,72,2011/2012,
 Norwich City,72,2011/2012,
 Wigan Athletic,72,2011/2012,
 Leeds United,70,2011/2012,
 Southampton,70,2011/2012,
 Derby County,70,2011/2012,
 Leicester City,70,2011/2012,
 Middlesbrough,69,2011/2012,
 Cardiff City,69,2011/2012,
 Burnley,69,2011/2012,
 Crystal Palace,69,2011/2012,
 Blackpool,69,2011/2012,
 Nottingham Forest,68,2011/2012,
 Portsmouth,68,2011/2012,
 Hull City,68,2011/2012,
 Reading,68,2011/2012,
 Watford,67,2011/2012,
 Bristol City,67,2011/2012,
 Ipswich Town,67,2011/2012,
 Brighton & Hove Albion,67,2011/2012,
 Doncaster Rovers,67,2011/2012,
 Millwall,66,2011/2012,
 Charlton Athletic,66,2011/2012,
 Sheffield Wednesday,65,2011/2012,
 Coventry City,65,2011/2012,
 Huddersfield Town,65,2011/2012,
 Peterborough United,65,2011/2012,
 Barnsley,65,2011/2012,
 Sheffield United,64,2011/2012,
 Milton Keynes Dons,64,2011/2012,
 Preston North End,63,2011/2012,
 Shrewsbury,62,2011/2012,
 Scunthorpe United,62,2011/2012,
 Colchester United,62,2011/2012,
 Brentford,62,2011/2012,
 Crawley Town,62,2011/2012,
 Leyton Orient,62,2011/2012,
 Bournemouth,62,2011/2012,
 Carlisle United,62,2011/2012,
 Oldham Athletic,62,2011/2012,
 Southend United,61,2011/2012,
 Chelsea,83,2010/2011,
 Manchester United,82,2010/2011,
 Manchester City,82,2010/2011,
 Arsenal,81,2010/2011,
 Liverpool,80,2010/2011,
 Tottenham Hotspur,80,2010/2011,
 Everton,78,2010/2011,
 Aston Villa,78,2010/2011,
 Fulham,77,2010/2011,
 Birmingham City,76,2010/2011,
 Sunderland,75,2010/2011,
 West Ham United,75,2010/2011,
 Blackburn Rovers,75,2010/2011,
 Bolton Wanderers,75,2010/2011,
 Stoke City,74,2010/2011,
 Newcastle United,74,2010/2011,
 Wigan Athletic,73,2010/2011,
 West Bromwich Albion,73,2010/2011,
 Wolverhampton Wanderers,73,2010/2011,
 Burnley,70,2010/2011,
 Cardiff City,70,2010/2011,
 Hull City,70,2010/2011,
 Middlesbrough,70,2010/2011,
 Bristol City,69,2010/2011,
 Blackpool,69,2010/2011,
 Portsmouth,69,2010/2011,
 Queens Park Rangers,69,2010/2011,
 Nottingham Forest,69,2010/2011,
 Swansea City,68,2010/2011,
 Sheffield United,68,2010/2011,
 Derby County,68,2010/2011,
 Crystal Palace,67,2010/2011,
 Leeds United,67,2010/2011,
 Ipswich Town,67,2010/2011,
 Leicester City,67,2010/2011,
 Coventry City,66,2010/2011,
 Preston North End,66,2010/2011,
 Reading,66,2010/2011,
 Norwich City,66,2010/2011,
 Barnsley,66,2010/2011,
 Southampton,65,2010/2011,
 Doncaster Rovers,65,2010/2011,
 Watford,65,2010/2011,
 Sheffield Wednesday,64,2010/2011,
 Millwall,64,2010/2011,
 Huddersfield Town,63,2010/2011,
 Swindon Town,63,2010/2011,
 Peterborough United,63,2010/2011,
 Scunthorpe United,63,2010/2011,
 Plymouth Argyle,63,2010/2011,
 Brighton & Hove Albion,63,2010/2011,
 Charlton Athletic,63,2010/2011,
 Brentford,62,2010/2011,
 Colchester United,62,2010/2011,
 Carlisle United,62,2010/2011,
 Notts County,62,2010/2011,
 Milton Keynes Dons,62,2010/2011,
 Oldham Athletic,61,2010/2011,
 Hartlepool United,61,2010/2011,
 Exeter City,60,2010/2011,
 Chelsea,83,2009/2010,
 Manchester United,82,2009/2010,
 Liverpool,82,2009/2010,
 Arsenal,81,2009/2010,
 Manchester City,81,2009/2010,
 Tottenham Hotspur,79,2009/2010,
 Everton,79,2009/2010,
 Aston Villa,79,2009/2010,
 Fulham,76,2009/2010,
 West Ham United,76,2009/2010,
 Blackburn Rovers,75,2009/2010,
 Portsmouth,75,2009/2010,
 Sunderland,75,2009/2010,
 Bolton Wanderers,75,2009/2010,
 Wigan Athletic,74,2009/2010,
 Birmingham City,74,2009/2010,
 Stoke City,73,2009/2010,
 Hull City,73,2009/2010,
 Newcastle United,72,2009/2010,
 Burnley,72,2009/2010,
 Wolverhampton Wanderers,72,2009/2010,
 Middlesbrough,70,2009/2010,
 West Bromwich Albion,69,2009/2010,
 Queens Park Rangers,69,2009/2010,
 Reading,68,2009/2010,
 Bristol City,68,2009/2010,
 Cardiff City,68,2009/2010,
 Crystal Palace,67,2009/2010,
 Sheffield Wednesday,67,2009/2010,
 Preston North End,67,2009/2010,
 Derby County,67,2009/2010,
 Ipswich Town,67,2009/2010,
 Sheffield United,67,2009/2010,
 Leicester City,66,2009/2010,
 Nottingham Forest,66,2009/2010,
 Swansea City,66,2009/2010,
 Leeds United,66,2009/2010,
 Watford,65,2009/2010,
